"indice","estado","condicion","alcance","mecanismo","perdida","tiempo_wall_s","tiempo_cpu_s","cpu_user_s","cpu_sys_s","mem_rss_mb","gpu_mem_mb","particion","plataforma"
74,"1010101010","0111111111","0101010101","0101010101",0.015625,0.095041,0.09547,0.09547,0.0,0.0,0.0,"⎛ J ⎞⎛  B,D,F,H  ⎞\n⎝ ∅ ⎠⎝ B,D,F,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
75,"1010101010","0111111111","0101010101","1010101010",0.015625,0.041395,0.041639,0.041639,0.0,0.0,0.0,"⎛ J ⎞⎛ B,D,F,H ⎞\n⎝ ∅ ⎠⎝ C,E,G,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
76,"1010101010","0111111111","1010101010","1111111111",0.464844,0.558121,0.558508,0.558508,0.0,0.0,0.0,"⎛ E ⎞⎛      C,G,I      ⎞\n⎝ C ⎠⎝ B,D,E,F,G,H,I,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
77,"1010101010","0111111111","1010101010","0111011101",0.001953,0.165825,0.166019,0.162045,0.003974,0.0,0.0,"⎛ C ⎞⎛     E,G,I     ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
78,"1010101010","0111111111","1010101010","0101010101",0.064453,0.054821,0.055125,0.055125,0.0,0.0,0.0,"⎛ I ⎞⎛   C,E,G   ⎞\n⎝ ∅ ⎠⎝ B,D,F,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
79,"1010101010","0111111111","1010101010","1010101010",0.072266,0.041952,0.042222,0.042203,1.9e-05,0.0,0.0,"⎛ E ⎞⎛  C,G,I  ⎞\n⎝ ∅ ⎠⎝ C,E,G,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
80,"1010101010","1111111110","1111111111","1111111111",0.458984,18.057973,18.076718,17.992553,0.084165,0.0,0.0,"⎛ E ⎞⎛  A,B,C,D,F,G,H,I  ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
81,"1010101010","1111111110","1111111111","0111011101",0.023438,2.265011,2.269117,2.245052,0.024065,0.0,0.0,"⎛ D ⎞⎛ A,B,C,E,F,G,H,I ⎞\n⎝ ∅ ⎠⎝   B,C,D,F,G,H   ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
82,"1010101010","1111111110","1111111111","0101010101",0.0,0.041252,0.041904,0.037981,0.003923,0.0,0.0,"⎛ G ⎞⎛ A,B,C,D,E,F,H,I ⎞\n⎝ ∅ ⎠⎝     B,D,F,H     ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
83,"1010101010","1111111110","1111111111","1010101010",0.001953,1.125632,1.126215,1.122184,0.004031,0.0,0.0,"⎛ B ⎞⎛ A,C,D,E,F,G,H,I ⎞\n⎝ ∅ ⎠⎝    A,C,E,G,I    ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
84,"1010101010","1111111110","0111011101","1111111111",0.472656,2.114851,2.115356,2.091418,0.023938,0.0,0.0,"⎛ F ⎞⎛     B,C,D,G,H     ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
85,"1010101010","1111111110","0111011101","0111011101",0.023438,0.278276,0.278656,0.278632,2.4e-05,0.0,0.0,"⎛ D ⎞⎛  B,C,F,G,H  ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
86,"1010101010","1111111110","0111011101","0101010101",0.0,0.009219,0.009313,0.0093,1.3e-05,0.0,0.0,"⎛ G ⎞⎛ B,C,D,F,H ⎞\n⎝ ∅ ⎠⎝  B,D,F,H  ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
87,"1010101010","1111111110","0111011101","1010101010",0.001953,0.153114,0.15352,0.15352,0.0,0.0,0.0,"⎛ B ⎞⎛ C,D,F,G,H ⎞\n⎝ ∅ ⎠⎝ A,C,E,G,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
